epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,1592.49,1.33653,0.56912,0.00336,0.92493,0.87761,0.94833,0.63576,1.09208,0.40613,0.00443,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,1623.72,1.33418,0.56051,0.00326,0.92147,0.88024,0.95027,0.63051,1.11644,0.40793,0.00457,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,1654.19,1.33326,0.5713,0.00335,0.91556,0.8945,0.95119,0.6394,1.08776,0.40308,0.0044,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,1685.23,1.33095,0.57188,0.00325,0.93608,0.87338,0.95065,0.64594,1.06642,0.39666,0.00431,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,1716.45,1.31251,0.54965,0.00331,0.92326,0.88298,0.94976,0.63972,1.09306,0.40149,0.00449,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,1747.14,1.3168,0.56149,0.00334,0.94284,0.87079,0.95187,0.64489,1.08864,0.40219,0.00443,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,1778.48,1.32345,0.55926,0.00331,0.94116,0.87757,0.95235,0.64677,1.06551,0.39359,0.0043,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,1809.13,1.32403,0.5607,0.00329,0.92051,0.88977,0.9528,0.61709,1.16892,0.42081,0.00463,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,1839,1.31778,0.56615,0.00328,0.93089,0.88688,0.94823,0.64528,1.0677,0.39747,0.00432,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,1869.33,1.31208,0.55253,0.0032,0.92511,0.88056,0.95095,0.64201,1.08571,0.39394,0.00442,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
